catalog_number,item_name,item_type,price,color,image_url,link
ID-SOF-001,Maxwell · Fabric Sofa by Apartment Therapy,sofa,$2095,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Fabric_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-sofa
ID-SOF-002,Maxwell · Slipcovered 2-Seat Sofa by Apartment Therapy,sofa,$2195,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Slipcovered_2_Seat_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-sofa
ID-SOF-003,Maxwell · Leather Sofa by Apartment Therapy,sofa,$3395,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, Neutral",Maxwell_Leather_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-sofa
ID-SOF-004,Maxwell · Fabric 3-Seat Sofa by Apartment Therapy,sofa,$2395,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Fabric_3_Seat_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-3seat-sofa
ID-SOF-005,Maxwell · Slipcovered 3-Seat Sofa by Apartment Therapy,sofa,$2495,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Slipcovered_3_Seat_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-3seat-sofa
ID-SOF-006,Maxwell · Leather 3-Seat Sofa by Apartment Therapy,sofa,$3695,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",Maxwell_Leather_3_Seat_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-3seat-sofa
ID-SOF-007,Maxwell · Loveseat by Apartment Therapy,sofa,$1895,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Loveseat_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-loveseat-sofa
ID-SOF-008,Maxwell · Slipcovered Loveseat by Apartment Therapy,sofa,$1995,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Slipcovered_Loveseat_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-loveseat-sofa
ID-SOF-009,Maxwell · Leather Loveseat by Apartment Therapy,sofa,$3195,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",Maxwell_Leather_Loveseat_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-loveseat-sofa
ID-SOF-010,James · 3-Seat Sofa,sofa,$2845,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",James_3_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-3-seat-sofa
ID-SOF-011,James · 3-Seat Sofa with Contrast Piping,sofa,$3095,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",James_3_Seat_Sofa_with_Contrast_Piping.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-3-seat-sofa-piping
ID-SOF-012,James · Leather 3-Seat Sofa,sofa,$4295,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",James_Leather_3_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-leather-3-seat-sofa
ID-SOF-013,James · 2-Seat Sofa,sofa,$2245,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",James_2_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-2-seat-sofa
ID-SOF-014,James · 2-Seat Sofa with Contrast Piping,sofa,$2495,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",James_2_Seat_Sofa_with_Contrast_Piping.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-2-seat-sofa-piping
ID-SOF-015,James · Leather 2-Seat Sofa,sofa,$3695,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",James_Leather_2_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-leather-2-seat-sofa
ID-SOF-016,James · Loveseat,sofa,$1845,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",James_Loveseat.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-loveseat
ID-SOF-017,James · Loveseat with Contrast Piping,sofa,$2095,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",James_Loveseat_with_Contrast_Piping.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-loveseat-piping
ID-SOF-018,James · Leather Loveseat,sofa,$3295,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",James_Leather_Loveseat.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-leather-loveseat
