catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-SOF-001,Maxwell · Fabric Sofa by Apartment Therapy,$2095,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-sofa,Maxwell_Fabric_Sofa_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-002,Maxwell · Slipcovered 2-Seat Sofa by Apartment Therapy,$2195,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-sofa,Maxwell_Slipcovered_2_Seat_Sofa_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-003,Maxwell · Leather Sofa by Apartment Therapy,$3395,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-sofa,Maxwell_Leather_Sofa_by_Apartment_Therapy.jpg,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, Neutral",N/A,sofa
ID-SOF-004,Maxwell · Fabric 3-Seat Sofa by Apartment Therapy,$2395,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-3seat-sofa,Maxwell_Fabric_3_Seat_Sofa_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-005,Maxwell · Slipcovered 3-Seat Sofa by Apartment Therapy,$2495,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-3seat-sofa,Maxwell_Slipcovered_3_Seat_Sofa_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-006,Maxwell · Leather 3-Seat Sofa by Apartment Therapy,$3695,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-3seat-sofa,Maxwell_Leather_3_Seat_Sofa_by_Apartment_Therapy.jpg,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",N/A,sofa
ID-SOF-007,Maxwell · Loveseat by Apartment Therapy,$1895,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-loveseat-sofa,Maxwell_Loveseat_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-008,Maxwell · Slipcovered Loveseat by Apartment Therapy,$1995,https://www.interiordefine.com/living/all-custom-sofas/maxwell-slipcovered-custom-loveseat-sofa,Maxwell_Slipcovered_Loveseat_by_Apartment_Therapy.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-009,Maxwell · Leather Loveseat by Apartment Therapy,$3195,https://www.interiordefine.com/living/all-custom-sofas/maxwell-leather-custom-loveseat-sofa,Maxwell_Leather_Loveseat_by_Apartment_Therapy.jpg,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",N/A,sofa
ID-SOF-010,James · 3-Seat Sofa,$2845,https://www.interiordefine.com/living/all-custom-sofas/james-3-seat-sofa,James_3_Seat_Sofa.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
ID-SOF-011,James · 3-Seat Sofa with Contrast Piping,$3095,https://www.interiordefine.com/living/all-custom-sofas/james-3-seat-sofa-piping,James_3_Seat_Sofa_with_Contrast_Piping.jpg,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",N/A,sofa
ID-SOF-012,James · Leather 3-Seat Sofa,$4295,https://www.interiordefine.com/living/all-custom-sofas/james-leather-3-seat-sofa,James_Leather_3_Seat_Sofa.jpg,"Black, Red, Mink, Blue, Grey, Green, Saddle Brown, Cool, Dark, Warm, Brown, White, Neutral",N/A,sofa
ID-SOF-013,James · 2-Seat Sofa,$2245,https://www.interiordefine.com/living/all-custom-sofas/james-2-seat-sofa,James_2_Seat_Sofa.jpg,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",N/A,sofa
