query_number,image_name,rank,catalog_number,similarity_score,item_name,item_type,price,color,image_url,link
3,rug_extracted_grayscale.png,1,ID-RUG-007,0.845764041,Miranda · Hand Knotted Rug,rug,$2840,"White, Red",Miranda_Hand_Knotted_Rug.jpg,https://www.interiordefine.com/rugs/miranda-taupe-wool-rug
3,rug_extracted_grayscale.png,2,ID-RUG-029,0.84338361,Pryce · Hand Tufted Rug,rug,$725,"White, Red, Beige",Pryce_Hand_Tufted_Rug.jpg,https://www.interiordefine.com/rugs/pryce-hand-tufted-rug
3,rug_extracted_grayscale.png,3,ID-RUG-016,0.83682251,Casper · Hand Woven Rug,rug,$720,"White, Red, Beige",Casper_Hand_Woven_Rug.jpg,https://www.interiordefine.com/rugs/casper-jute-rug-beige
3,rug_extracted_grayscale.png,4,ID-RUG-014,0.836639285,Noelle · Hand Knotted Rug,rug,$2885,"White, Red, Green",Noelle_Hand_Knotted_Rug.jpg,https://www.interiordefine.com/rugs/noelle-traditional-green-rug
3,rug_extracted_grayscale.png,5,ID-RUG-018,0.830108643,Taylor · Hand woven rug,rug,$1415,"White, Black, Blue, Gray, Red",Taylor_Hand_woven_rug.jpg,https://www.interiordefine.com/rugs/taylor-rug
3,lamp_extracted_grayscale.png,1,ID-LIG-020,0.909713864,Apollo · Table Lamp,lighting,$640,"Black, Gray, Red",Apollo_Table_Lamp.jpg,https://www.interiordefine.com/lighting/apollo-table-lamp
3,lamp_extracted_grayscale.png,2,ID-LIG-018,0.904785275,Bellamy · Table Lamp,lighting,$480,"Black, Gray, Red",Bellamy_Table_Lamp.jpeg,https://www.interiordefine.com/lighting/bellamy-table-lamp
3,lamp_extracted_grayscale.png,3,ID-LIG-013,0.904678345,Ramona · Table Lamp,lighting,$625,"Beige, Black, Red",Ramona_Table_Lamp.jpg,https://www.interiordefine.com/lighting/ramona-table-lamp
3,lamp_extracted_grayscale.png,4,ID-LIG-029,0.904053,Bosco · Table Lamp,lighting,$910,"Red, Brown, White",Bosco_Table_Lamp.jpg,https://www.interiordefine.com/lighting/bosco-table-lamp
3,lamp_extracted_grayscale.png,5,ID-LIG-025,0.903747678,Aphrodite · Table Lamp,lighting,$345,"Green, Red, White",Aphrodite_Table_Lamp.jpg,https://www.interiordefine.com/lighting/aphrodite-table-lamp
