catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-LIG-001,Chelsea · Table Lamp,$605,https://www.interiordefine.com/lighting/chelsea-table-lamp,Chelsea_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-002,Adams · Table Lamp,$475,https://www.interiordefine.com/lighting/adams-table-lamp,Adams_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-003,Hadley · Floor Lamp,$1375,https://www.interiordefine.com/lighting/hadley-floor-lamp,Hadley_Floor_Lamp.jpg,"Black, White, Red",N/A,lighting
ID-LIG-004,Arthur · Floor Lamp,$795,https://www.interiordefine.com/lighting/arthur-floor-lamp,Arthur_Floor_Lamp.jpg,"Black, Red",N/A,lighting
ID-LIG-005,Ramona · Floor Lamp,$1835,https://www.interiordefine.com/lighting/ramona-metal-floor-lamp,Ramona_Floor_Lamp.jpg,"Black, Red",N/A,lighting
ID-LIG-006,Kimber · Table Lamp,$745,https://www.interiordefine.com/lighting/kimber-table-lamp,Kimber_Table_Lamp.jpg,Red,N/A,lighting
ID-LIG-007,Eleanor · Table Lamp,$745,https://www.interiordefine.com/lighting/eleanor-table-lamp,Eleanor_Table_Lamp.jpg,Red,N/A,lighting
ID-LIG-008,Roberts · Table Lamp,$395,https://www.interiordefine.com/lighting/roberts-table-lamp,Roberts_Table_Lamp.jpg,Red,N/A,lighting
ID-LIG-009,Glenn · Floor Lamp,$1375,https://www.interiordefine.com/lighting/glenn-floor-lamp,Glenn_Floor_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-010,Liam · Table Lamp,$435,https://www.interiordefine.com/lighting/liam-table-lamp,Liam_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-011,Maddox · Table Lamp,$515,https://www.interiordefine.com/lighting/maddox-table-lamp,Maddox_Table_Lamp.jpg,"Beige, Black, Red",N/A,lighting
ID-LIG-012,Thatcher · Table Lamp,$745,https://www.interiordefine.com/lighting/thatcher-table-lamp,Thatcher_Table_Lamp.jpg,Red,N/A,lighting
ID-LIG-013,Ramona · Table Lamp,$625,https://www.interiordefine.com/lighting/ramona-table-lamp,Ramona_Table_Lamp.jpg,"Beige, Black, Red",N/A,lighting
ID-LIG-014,Eleanor · Floor Lamp,$1495,https://www.interiordefine.com/lighting/eleanor-floor-lamp,Eleanor_Floor_Lamp.jpg,Red,N/A,lighting
ID-LIG-015,Pippa · Floor Lamp,$685,https://www.interiordefine.com/lighting/pippa-floor-lamp,Pippa_Floor_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-016,Pippa · Table Lamp,$455,https://www.interiordefine.com/lighting/pippa-table-lamp,Pippa_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-017,Iris · Table Lamp,$435,https://www.interiordefine.com/lighting/iris-table-lamp,Iris_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-018,Bellamy · Table Lamp,$480,https://www.interiordefine.com/lighting/bellamy-table-lamp,Bellamy_Table_Lamp.jpeg,"Black, Gray, Red",N/A,lighting
ID-LIG-019,Quentin · Table Lamp,$325,https://www.interiordefine.com/lighting/quentin-table-lamp,Quentin_Table_Lamp.jpg,"Black, Red",N/A,lighting
ID-LIG-020,Apollo · Table Lamp,$640,https://www.interiordefine.com/lighting/apollo-table-lamp,Apollo_Table_Lamp.jpg,"Black, Gray, Red",N/A,lighting
ID-LIG-021,Leah · Floor Lamp,$675,https://www.interiordefine.com/lighting/leah-floor-lamp,Leah_Floor_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-022,Bella · Table Lamp,$495,https://www.interiordefine.com/lighting/bella-floor-lamp,Bella_Table_Lamp.jpg,"Red, Cream, White",N/A,lighting
ID-LIG-023,Anastasia · Floor Lamp,$1135,https://www.interiordefine.com/lighting/anastasia-floor-lamp,Anastasia_Floor_Lamp.jpg,"Black, White, Red",N/A,lighting
ID-LIG-024,Giada · Floor Lamp,$630,https://www.interiordefine.com/lighting/giada-floor-lamp,Giada_Floor_Lamp.jpg,Red,N/A,lighting
ID-LIG-025,Aphrodite · Table Lamp,$345,https://www.interiordefine.com/lighting/aphrodite-table-lamp,Aphrodite_Table_Lamp.jpg,"Green, Red, White",N/A,lighting
ID-LIG-026,Viola · Table Lamp,$675,https://www.interiordefine.com/lighting/viola-table-lamp,Viola_Table_Lamp.jpg,"Red, White",N/A,lighting
ID-LIG-027,Graysen · Floor Lamps,$675,https://www.interiordefine.com/lighting/graysen-floor-lamps,Graysen_Floor_Lamps.jpg,"Red, Gray",N/A,lighting
ID-LIG-028,Rhea · Table Lamp,$325,https://www.interiordefine.com/lighting/rhea-table-lamp,Rhea_Table_Lamp.jpg,"Red, Brown",N/A,lighting
ID-LIG-029,Bosco · Table Lamp,$910,https://www.interiordefine.com/lighting/bosco-table-lamp,Bosco_Table_Lamp.jpg,"Red, Brown, White",N/A,lighting
ID-LIG-030,Ryder · Pendant,$1365,https://www.interiordefine.com/lighting/ryder-pendant,Ryder_Pendant.jpeg,"Black, White, Red",N/A,lighting
ID-LIG-031,Selma · Ceramic Table Lamp,$480,https://www.interiordefine.com/lighting/selma-table-lamp,Selma_Ceramic_Table_Lamp.png,"Black, Red",N/A,lighting
ID-LIG-032,Crawford · Bronze Sconce,$755,https://www.interiordefine.com/false,Crawford_Bronze_Sconce.jpg,"Red, White",N/A,lighting
